statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;664;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;564;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;566;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;98;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01750B02000;1750 bis unter 2000 EUR;567;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01750B02000;1750 bis unter 2000 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01750B02000;1750 bis unter 2000 EUR;377;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01750B02000;1750 bis unter 2000 EUR;381;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01750B02000;1750 bis unter 2000 EUR;186;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02500B03000;2500 bis unter 3000 EUR;78;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02500B03000;2500 bis unter 3000 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02500B03000;2500 bis unter 3000 EUR;70;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02500B03000;2500 bis unter 3000 EUR;70;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02500B03000;2500 bis unter 3000 EUR;8;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;()
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;589;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;441;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;443;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;147;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;43;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;22;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
