statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;05;Nordrhein-Westfalen;9133;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;05;Nordrhein-Westfalen;8807;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;05;Nordrhein-Westfalen;8532;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;05;Nordrhein-Westfalen;326;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;05;Nordrhein-Westfalen;17665;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;08;Baden-Württemberg;6131;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;08;Baden-Württemberg;5987;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;08;Baden-Württemberg;4832;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;08;Baden-Württemberg;144;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;08;Baden-Württemberg;10963;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;09;Bayern;6381;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;09;Bayern;5926;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;09;Bayern;6075;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;09;Bayern;455;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;09;Bayern;12456;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;1104;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;1028;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;1091;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;76;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;2194;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;12;Brandenburg;1298;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;12;Brandenburg;1240;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;12;Brandenburg;1160;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;12;Brandenburg;58;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2017;DLAND;Bundesländer;12;Brandenburg;2459;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;06;Hessen;3017;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;06;Hessen;2760;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;06;Hessen;3075;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;06;Hessen;256;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2005;DLAND;Bundesländer;06;Hessen;6092;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;11;Berlin;1781;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;11;Berlin;1512;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;11;Berlin;1643;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;11;Berlin;269;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;11;Berlin;3424;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;4064;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;3900;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;3888;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;164;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;7952;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;485;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;457;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;504;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;28;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;989;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;816;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;738;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;778;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;78;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;1594;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;931;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;847;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;831;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;83;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;1762;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;8736;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;8093;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;9235;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;644;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;17971;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1123;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1056;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1033;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;67;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;2156;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;329;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;307;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;330;1000;ERW004;Nichterwerbspersonen;e
