Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;UNT002__Unternehmen_(EU)__Anzahl;PER005__Taetige_Personen__Anzahl;UMS002__Umsatz__Mill._EUR;INV018__Bruttoinvestitionen_in_Sachanlagen__Mill._EUR;BWS003__Bruttowertschoepfung_zu_Faktorkosten__Mill._EUR;BBU001__Bruttobetriebsueberschuss__Mill._EUR;PAW002__Personalaufwendungen__Mill._EUR;VST005__Bruttoloehne_und_-gehaelter__Mill._EUR;KOS026__Sozialversicherungskosten__Mill._EUR;KOS002__Kosten_fuer_Mieten_und_Pachten__Mill._EUR;PRO013__Produktionswert__Mill._EUR;KAU007__Waren-_und_Dienstleistungskaeufe__Mill._EUR;KAU008__Kaeufe_v.Waren_u.DL_z.Wiederverk._i.unveraend._Zust.__Mill._EUR;VRV001__Vorratsveraenderungen_bei_Waren_u._Dienstleistungen__Mill._EUR;AUFW05__Aufwendungen_fuer_Leiharbeitnehmer__Mill._EUR;LGE001__Lohn-_und_Gehaltsempfaenger__Anzahl;LGE002__Lohn-_und_Gehaltsempfaenger_in_Vollzeiteinheiten__Anzahl
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-051;Steinkohlenbergbau;4;.;.;.;.;.;.;.;.;-;.;.;.;-;.;.;.
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-052;Braunkohlenbergbau;1;.;.;.;.;.;.;.;.;-;.;.;.;-;.;.;.
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-061;Gewinnung von Erdöl;1;.;.;.;.;.;.;.;.;-;.;.;.;-;.;.;.
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-062;Gewinnung von Erdgas;.;.;.;.;1110;.;.;.;.;-;.;.;.;-;.;.;.
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-071;Eisenerzbergbau;1;.;.;.;.;.;.;.;.;-;.;.;.;-;.;.;.
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-072;NE-Metallerzbergbau;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-081;Gewinnung von Natursteinen,Kies,Sand,Ton u. Kaolin;1304;27715;7273;620;2473;1176;1297;1059;238;-;6291;4810;1045;-;35;26705;25014
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-089;Sonst. Bergbau, Gewinnung v.Steinen u.Erden a.n.g.;123;4750;1259;82;452;.;.;.;.;-;.;.;.;-;.;4592;4328
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-091;Dienstleistungen f.d. Gewinnung v.Erdöl u.Erdgas;52;1661;377;19;126;.;.;.;.;-;.;.;.;-;.;1624;1584
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-099;Dienstleistungen für den sonstigen Bergbau usw;45;387;.;.;15;.;.;.;.;-;.;.;.;-;.;367;347
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-101;Schlachten und Fleischverarbeitung;9445;233019;49712;993;8216;2381;5835;4819;1016;-;44420;41482;5381;-;944;218274;184251
