"Jahr";"West gegenüber Ost";"West gegenüber Ost mit Berlin"
1991;165,39;171,356
1992;90,337;95,636
1993;55,579;59,846
1994;34,494;33,852
1995;31,892;31,338
1996;24,929;35,327
1997;28,202;28,52
1998;46,265;41,728
1999;58,134;51,464
2000;75,951;68,766
2001;97,565;91,454
2002;80,827;76,756
2003;58,352;57,699
2004;51,675;52,529
2005;48,976;47,092
2006;54,144;50,684
2007;54,805;48,78
2008;51,007;41,419
2009;32,315;18,503
2010;23,579;9,883
2011;21,586;8,885
2012;14,902;2,663
2013;10,497;-1,151
2014;3,326;-7,201
2015;4,804;-1,799
2016;14,935;-1,193
2017;-3,997;-14,388
2018;-0,652;-8,095
2019;-1,046;-11,017
2020;-6,09;-10,161
2021;-5,556;-16,441
